Site ID,Current Site Name,Line1 Address,Comu ,Site Municipality,Zip Code ,Contamination
257954,BABYLAND FAMILY SERVICES INC #3,188 200 S ORANGE AVE,0714,Newark City,07106    ,RAO-A (Unrestricted Use)
376704,BABY LOVE CHRISTIAN ACADEMY I LEARNING CENTER,228 S HARRISON ST,0705,East Orange City,07018    ,CCF Approved
88251,BADGER DEVELOPMENT CO,213 255 RIDGEWOOD AVE,0714,Newark City,07199    ,Known
31930,BAHTO & SON DRY CLEANERS,623 VALLEY RD,0713,Montclair Twp,07043    ,RAO-Entire Site (Unrestricted Use)
8517,BAKER ADHESIVES INC,152 158 MT PLEASANT AVE,0714,Newark City,07114    ,RAO-Entire Site (Unrestricted Use)
649903,BALLANTINE PARCEL C,453 457 FERRY ST,0714,Newark City,07105    ,RAO-Entire Site (Restricted Use)
649905,BALLANTINE PARCEL D,57 FLEMING AVE,0714,Newark City,07105    ,RAO-A (Unrestricted Use)
634546,BALLANTINE PARCEL G,448 454 FERRY ST,0714,Newark City,07105    ,RAO-Entire Site (Restricted Use)
59156,BANK OF AMERICA,40 52 MARKET ST,0714,Newark City,07102    ,Suspected
21905,BANNER CHEMICAL CORP,111 HILL ST,0717,Orange City Twp,07050    ,LSRP Oversight
63935,BARON BLAKESLEE INC @ RIVERSIDE IND PK,29 RIVERSIDE AVE,0714,Newark City,07199    ,LSRP Oversight
23060,BARRETT PAVING MATERIALS INC,3 BECKER FARM RD,0718,Roseland Boro,07068    ,Suspected
63675,BAYONNE DRUM & BARREL CO,140 166 RAYMOND BLVD,0714,Newark City,07105    ,LSRP Oversight
8271,B&B AUTO REPAIR & SALES,100 KINGSLAND ST,0716,Nutley Twp,07110    ,Verified Unknown Source
534453,BBT REALTY,317 329 DOREMUS AVE ,0714,Newark City,07105    ,Known
625534,B&C TOWING GASOLINE TANKER SPILL,527 AVE P,0714,Newark City,07102    ,LSRP Oversight
328962,BEE RITE AUTO BODY,93 SYLVAN AVE,0714,Newark City,07104    ,LSRP Oversight
